省份,城市,城市url,新房url,二手房url
直辖市,北京,http://bj.fang.com/,https://newhouse.fang.com/house/s,https://esf.fang.com/
直辖市,上海,http://sh.fang.com/,http://sh.newhouse.fang.com//house/s,http://sh.esf.fang.com/
直辖市,天津,http://tj.fang.com/,http://tj.newhouse.fang.com//house/s,http://tj.esf.fang.com/
直辖市,重庆,http://cq.fang.com/,http://cq.newhouse.fang.com//house/s,http://cq.esf.fang.com/
安徽,合肥,http://hf.fang.com/,http://hf.newhouse.fang.com//house/s,http://hf.esf.fang.com/
安徽,芜湖,http://wuhu.fang.com/,http://wuhu.newhouse.fang.com//house/s,http://wuhu.esf.fang.com/
安徽,淮南,http://huainan.fang.com/,http://huainan.newhouse.fang.com//house/s,http://huainan.esf.fang.com/
安徽,蚌埠,http://bengbu.fang.com/,http://bengbu.newhouse.fang.com//house/s,http://bengbu.esf.fang.com/
安徽,阜阳,http://fuyang.fang.com/,http://fuyang.newhouse.fang.com//house/s,http://fuyang.esf.fang.com/
安徽,安庆,http://anqing.fang.com/,http://anqing.newhouse.fang.com//house/s,http://anqing.esf.fang.com/
安徽,巢湖,http://chaohu.fang.com/,http://chaohu.newhouse.fang.com//house/s,http://chaohu.esf.fang.com/
安徽,滁州,http://chuzhou.fang.com/,http://chuzhou.newhouse.fang.com//house/s,http://chuzhou.esf.fang.com/
安徽,六安,http://luan.fang.com/,http://luan.newhouse.fang.com//house/s,http://luan.esf.fang.com/
安徽,铜陵,http://tongling.fang.com/,http://tongling.newhouse.fang.com//house/s,http://tongling.esf.fang.com/
安徽,淮北,http://huaibei.fang.com/,http://huaibei.newhouse.fang.com//house/s,http://huaibei.esf.fang.com/
安徽,宣城,http://xuancheng.fang.com/,http://xuancheng.newhouse.fang.com//house/s,http://xuancheng.esf.fang.com/
安徽,黄山,http://huangshan.fang.com/,http://huangshan.newhouse.fang.com//house/s,http://huangshan.esf.fang.com/
安徽,宿州,http://ahsuzhou.fang.com/,http://ahsuzhou.newhouse.fang.com//house/s,http://ahsuzhou.esf.fang.com/
安徽,亳州,http://bozhou.fang.com/,http://bozhou.newhouse.fang.com//house/s,http://bozhou.esf.fang.com/
安徽,马鞍山,http://mas.fang.com/,http://mas.newhouse.fang.com//house/s,http://mas.esf.fang.com/
安徽,池州,http://chizhou.fang.com/,http://chizhou.newhouse.fang.com//house/s,http://chizhou.esf.fang.com/
安徽,广德,https://guangde.fang.com/,https://guangde.newhouse.fang.com//house/s,https://guangde.esf.fang.com/
安徽,桐城,http://tongcheng.fang.com/,http://tongcheng.newhouse.fang.com//house/s,http://tongcheng.esf.fang.com/
安徽,霍邱,http://huoqiu.fang.com/,http://huoqiu.newhouse.fang.com//house/s,http://huoqiu.esf.fang.com/
安徽,当涂,http://dangtu.fang.com/,http://dangtu.newhouse.fang.com//house/s,http://dangtu.esf.fang.com/
安徽,长丰,http://ahcf.fang.com/,http://ahcf.newhouse.fang.com//house/s,http://ahcf.esf.fang.com/
安徽,怀远,http://huaiyuan.fang.com/,http://huaiyuan.newhouse.fang.com//house/s,http://huaiyuan.esf.fang.com/
安徽,五河,http://wuhe.fang.com/,http://wuhe.newhouse.fang.com//house/s,http://wuhe.esf.fang.com/
安徽,固镇,http://guzhen.fang.com/,http://guzhen.newhouse.fang.com//house/s,http://guzhen.esf.fang.com/
安徽,繁昌,http://fanchang.fang.com/,http://fanchang.newhouse.fang.com//house/s,http://fanchang.esf.fang.com/
安徽,全椒,http://quanjiao.fang.com/,http://quanjiao.newhouse.fang.com//house/s,http://quanjiao.esf.fang.com/
安徽,蒙城,http://mengcheng.fang.com/,http://mengcheng.newhouse.fang.com//house/s,http://mengcheng.esf.fang.com/
澳门,澳门,http://macau.fang.com/,http://macau.newhouse.fang.com//house/s,http://macau.esf.fang.com/
重庆,重庆,http://cq.fang.com/,http://cq.newhouse.fang.com//house/s,http://cq.esf.fang.com/
重庆,万州, http://wanzhou.fang.com, http://wanzhou.newhouse.fang.com/house/s, http://wanzhou.esf.fang.com
重庆,涪陵,http://fuling.fang.com/,http://fuling.newhouse.fang.com//house/s,http://fuling.esf.fang.com/
重庆,綦江, http://qijiang.fang.com, http://qijiang.newhouse.fang.com/house/s, http://qijiang.esf.fang.com
重庆,黔江, http://qianjiang.fang.com, http://qianjiang.newhouse.fang.com/house/s, http://qianjiang.esf.fang.com
重庆,合川,http://hechuan.fang.com,http://hechuan.newhouse.fang.com/house/s,http://hechuan.esf.fang.com
重庆,丰都,http://fengdu.fang.com/,http://fengdu.newhouse.fang.com//house/s,http://fengdu.esf.fang.com/
重庆,江津,http://cqjiangjin.fang.com/,http://cqjiangjin.newhouse.fang.com//house/s,http://cqjiangjin.esf.fang.com/
重庆,铜梁,http://cqtongliang.fang.com/,http://cqtongliang.newhouse.fang.com//house/s,http://cqtongliang.esf.fang.com/
重庆,长寿,http://cqchangshou.fang.com/,http://cqchangshou.newhouse.fang.com//house/s,http://cqchangshou.esf.fang.com/
重庆,南川,http://cqnanchuan.fang.com/,http://cqnanchuan.newhouse.fang.com//house/s,http://cqnanchuan.esf.fang.com/
重庆,永川,http://yongchuan.fang.com,http://yongchuan.newhouse.fang.com/house/s,http://yongchuan.esf.fang.com
重庆,大足,http://cqdazu.fang.com,http://cqdazu.newhouse.fang.com/house/s,http://cqdazu.esf.fang.com
重庆,璧山,http://cqbishan.fang.com,http://cqbishan.newhouse.fang.com/house/s,http://cqbishan.esf.fang.com
重庆,潼南,http://cqtongnan.fang.com,http://cqtongnan.newhouse.fang.com/house/s,http://cqtongnan.esf.fang.com
福建,福州,http://fz.fang.com/,http://fz.newhouse.fang.com//house/s,http://fz.esf.fang.com/
福建,厦门,http://xm.fang.com/,http://xm.newhouse.fang.com//house/s,http://xm.esf.fang.com/
福建,泉州,http://qz.fang.com/,http://qz.newhouse.fang.com//house/s,http://qz.esf.fang.com/
福建,莆田,http://putian.fang.com/,http://putian.newhouse.fang.com//house/s,http://putian.esf.fang.com/
福建,漳州,http://zhangzhou.fang.com/,http://zhangzhou.newhouse.fang.com//house/s,http://zhangzhou.esf.fang.com/
福建,龙岩,http://longyan.fang.com/,http://longyan.newhouse.fang.com//house/s,http://longyan.esf.fang.com/
福建,三明,http://sanming.fang.com/,http://sanming.newhouse.fang.com//house/s,http://sanming.esf.fang.com/
福建,南平,http://nanping.fang.com/,http://nanping.newhouse.fang.com//house/s,http://nanping.esf.fang.com/
福建,宁德,http://ningde.fang.com/,http://ningde.newhouse.fang.com//house/s,http://ningde.esf.fang.com/
福建,平潭,http://pingtan.fang.com/,http://pingtan.newhouse.fang.com//house/s,http://pingtan.esf.fang.com/
福建,福清,http://fq.fang.com/,http://fq.newhouse.fang.com//house/s,http://fq.esf.fang.com/
福建,南安,http://nanan.fang.com/,http://nanan.newhouse.fang.com//house/s,http://nanan.esf.fang.com/
福建,龙海,http://longhai.fang.com/,http://longhai.newhouse.fang.com//house/s,http://longhai.esf.fang.com/
福建,惠安,http://huian.fang.com/,http://huian.newhouse.fang.com//house/s,http://huian.esf.fang.com/
福建,长乐,http://changle.fang.com/,http://changle.newhouse.fang.com//house/s,http://changle.esf.fang.com/
福建,石狮,http://shishi.fang.com/,http://shishi.newhouse.fang.com//house/s,http://shishi.esf.fang.com/
福建,安溪,http://fjax.fang.com/,http://fjax.newhouse.fang.com//house/s,http://fjax.esf.fang.com/
福建,连江,http://lianjiang.fang.com/,http://lianjiang.newhouse.fang.com//house/s,http://lianjiang.esf.fang.com/
福建,永春,http://yongchun.fang.com/,http://yongchun.newhouse.fang.com//house/s,http://yongchun.esf.fang.com/
福建,罗源,http://luoyuan.fang.com/,http://luoyuan.newhouse.fang.com//house/s,http://luoyuan.esf.fang.com/
福建,闽清,http://minqing.fang.com/,http://minqing.newhouse.fang.com//house/s,http://minqing.esf.fang.com/
福建,永泰,http://yongtai.fang.com/,http://yongtai.newhouse.fang.com//house/s,http://yongtai.esf.fang.com/
福建,泉港,http://quangang.fang.com/,http://quangang.newhouse.fang.com//house/s,http://quangang.esf.fang.com/
福建,福安,http://fuan.fang.com/,http://fuan.newhouse.fang.com//house/s,http://fuan.esf.fang.com/
福建,永安,http://ya.fang.com/,http://ya.newhouse.fang.com//house/s,http://ya.esf.fang.com/
福建,德化,http://dh.fang.com/,http://dh.newhouse.fang.com//house/s,http://dh.esf.fang.com/
福建,晋江,http://jinjiang.fang.com/,http://jinjiang.newhouse.fang.com//house/s,http://jinjiang.esf.fang.com/
广东,广州,http://gz.fang.com/,http://gz.newhouse.fang.com//house/s,http://gz.esf.fang.com/
广东,深圳,http://sz.fang.com/,http://sz.newhouse.fang.com//house/s,http://sz.esf.fang.com/
广东,东莞,http://dg.fang.com/,http://dg.newhouse.fang.com//house/s,http://dg.esf.fang.com/
